Name;MODELS;ER;BPM;TOTAL;BPM AND ER;MODELs AND BPM;ER AND MODELS;3 OUT OF 3;2 OUT OF 3;1 out of 3 and more than 1;;;;;;;;;;
Eddy Truyen;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Kien A. Hua;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Gabriele Taentzer;12;0;0;12;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
José María Cavero;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Christoph Elsner;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Jens Schneider 0004;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Géraud Fokou;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
San-Yih Hwang;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Sarita Bassil;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Masaaki Mizuno;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Bela Mutschler;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Remco van Engelen;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Yoshiharu Ishikawa;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Stefan Hanenberg;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Fabiano Riccardi;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Ralf-Detlef Kutsche;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Alexander Weibert;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Werner Winiwarter;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Marco Montali;0;1;19;20;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;;;;;;;;;;
Yuzo Yamamoto;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Christian Weber 0002;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Yongsun Choi;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Norbert Baumgartner;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Jeff Offutt;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Grant E. Weddell;0;2;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Adrian Flatgard;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Darko Durisic;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Vincent Aranega;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Pierre Kelsen;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Ornsiri Thonggoom;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Xiaolan Zhang;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Babis Theodoulidis;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Marina Egea;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Kai Rohwer;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Ahmed M. Elkhodary;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Dominik Gessenharter;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Karolin Winter;0;2;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Hanna Bauerdick;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Matthieu Allon;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Lamia Abo Zaid;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Anish Bhobe;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Martin Klein 0009;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Jens Otto Sørensen;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
H. Abie;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Johan Jacobs;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Timo Gutjahr;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Julio Cesar Nardi;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Stefan Sackmann;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Lidia Fuentes;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Werner Kießling;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Evgeny Kusmenko;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Wilhelm Hasselbring;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Karin Palmkvist;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Loïc Lagadec;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
D. Pascot;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Oliver Grasl;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Feiran Huang;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Anthony C. Bloesch;0;2;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Young Gil Kim;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
